Title,MLEC,,,,,,,,
Revision,0,,,,,,,,
Date,4/12/2016,,,,,,,,
Generated,4/18/2016 21:56,,,,,,,,
Company,Purdue University,,,,,,,,
Comment 1,John Fritz,,,,,,,,
Comment 2,,,,,,,,,
Comment 3,,,,,,,,,
Comment 4,,,,,,,,,
Total Parts,272,,,,,,,,
Total Unique Parts,90,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Reference,Qty,Value,Tolerance,Footprint,Mfg#,DigiKey#,
,,U4 U6 ,2,SN65HVD230, ,, ,,
,,U5 U7 U20 ,3,NUP2202, ,, ,,
,,U12 U11 U10 U8 U9 ,5,IRS44273L, ,, ,,
,,U14 U16 U13 ,3,MCP6002, ,, ,,
,,U17 ,1,MCP9700-TT, ,, ,,
,,U15 ,1,PC3H71x, ,, ,,
,,U18 ,1,SAM3X4/8C-100LQFP, ,, ,,
,,U19 ,1,LM4040, ,, ,,
,,W1 W2 W3 W4 W5 W6 ,6,GND, ,, ,,
,,Y1 ,1,12MHz, ,, ,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git),,,,,,,
,,Generated 4/18/2016 9:56:17 PM,,,,,,,
